ID,city,city_ascii,lat,lng,fed,province / region,Timezone
1,Tokyo,Tokyo,35.685,139.7514,JP,Tōkyō,Tokyo: UTC+9
2,New York,New York,40.6943,-73.9249,US,New York,New_York: UTC-5(-4)
3,Mexico City,Mexico City,19.4424,-99.131,MX,Ciudad de México,Mexico_City: UTC-6
4,Mumbai,Mumbai,19.017,72.857,IN,Mahārāshtra,Mumbai: UTC+5.5
5,São Paulo,Sao Paulo,-23.5587,-46.625,BR,São Paulo,São_Paulo: UTC-3
6,Delhi,Delhi,28.67,77.23,IN,Delhi,Mumbai: UTC+5.5
7,Shanghai,Shanghai,31.2165,121.4365,CN,Shanghai,Shanghai: UTC+8
8,Kolkata,Kolkata,22.495,88.3247,IN,West Bengal,Mumbai: UTC+5.5
9,Los Angeles,Los Angeles,34.1139,-118.407,US,California,Los_Angeles: UTC-8(-7)
10,Dhaka,Dhaka,23.7231,90.4086,BD,Dhaka,Dhaka: UTC+6
11,Buenos Aires,Buenos Aires,-34.6025,-58.3975,AR,"Buenos Aires, Ciudad Autónoma de",São_Paulo: UTC-3
12,Karachi,Karachi,24.87,66.99,PK,Sindh,Karachi: UTC+5
13,Cairo,Cairo,30.05,31.25,EG,Al Qāhirah,Cairo: UTC+2(+3)
14,Rio de Janeiro,Rio de Janeiro,-22.925,-43.225,BR,Rio de Janeiro,São_Paulo: UTC-3
15,Ōsaka,Osaka,34.75,135.4601,JP,Ōsaka,Tokyo: UTC+9
16,Beijing,Beijing,39.9289,116.3883,CN,Beijing,Shanghai: UTC+8
17,Manila,Manila,14.6042,120.9822,PH,Manila,Shanghai: UTC+8
18,Moscow,Moscow,55.7522,37.6155,RU,Moskva,Istanbul: UTC+3
19,Istanbul,Istanbul,41.105,29.01,TR,İstanbul,Istanbul: UTC+3
20,Paris,Paris,48.8667,2.3333,FR,Île-de-France,Paris: UTC+1(+2)
21,Seoul,Seoul,37.5663,126.9997,KR,Seoul,Tokyo: UTC+9
22,Lagos,Lagos,6.4433,3.3915,NG,Lagos,Lagos: UTC+1
23,Jakarta,Jakarta,-6.1744,106.8294,ID,Jakarta,Jakarta: UTC+7
24,Guangzhou,Guangzhou,23.145,113.325,CN,Guangdong,Shanghai: UTC+8
25,Chicago,Chicago,41.8373,-87.6862,US,Illinois,Chicago: UTC-6(-5)
26,London,London,51.5,-0.1167,UK,"London, City of",London: UTC±0(+1)
27,Lima,Lima,-12.048,-77.0501,PE,Lima,Lima: UTC-5
28,Tehran,Tehran,35.6719,51.4243,IR,Tehrān,Tehran: UTC+3.5
29,Kinshasa,Kinshasa,-4.3297,15.315,CD,Kinshasa,Lagos: UTC+1
30,Bogotá,Bogota,4.5964,-74.0833,CO,Bogotá,Lima: UTC-5
31,Shenzhen,Shenzhen,22.5524,114.1221,CN,Guangdong,Shanghai: UTC+8
32,Wuhan,Wuhan,30.58,114.27,CN,Hubei,Shanghai: UTC+8
33,Hong Kong,Hong Kong,22.305,114.185,HK,Hong Kong,Shanghai: UTC+8
34,Tianjin,Tianjin,39.13,117.2,CN,Tianjin,Shanghai: UTC+8
35,Chennai,Chennai,13.09,80.28,IN,Tamil Nādu,Mumbai: UTC+5.5
36,Taipei,Taipei,25.0358,121.5683,TW,Taipei,Shanghai: UTC+8
37,Bengalūru,Bengaluru,12.97,77.56,IN,Karnātaka,Mumbai: UTC+5.5
38,Bangkok,Bangkok,13.75,100.5166,TH,Krung Thep Maha Nakhon,Jakarta: UTC+7
39,Lahore,Lahore,31.56,74.35,PK,Punjab,Karachi: UTC+5
40,Chongqing,Chongqing,29.565,106.595,CN,Chongqing,Shanghai: UTC+8
41,Miami,Miami,25.7839,-80.2102,US,Florida,New_York: UTC-5(-4)
42,Hyderabad,Hyderabad,17.4,78.48,IN,Telangana,Mumbai: UTC+5.5
43,Dallas,Dallas,32.7936,-96.7662,US,Texas,Chicago: UTC-6(-5)
44,Santiago,Santiago,-33.45,-70.667,CL,Región Metropolitana,Santiago: UTC-3(-4)
45,Philadelphia,Philadelphia,40.0077,-75.1339,US,Pennsylvania,New_York: UTC-5(-4)
46,Belo Horizonte,Belo Horizonte,-19.915,-43.915,BR,Minas Gerais,São_Paulo: UTC-3
47,Madrid,Madrid,40.4,-3.6834,ES,Madrid,Paris: UTC+1(+2)
48,Houston,Houston,29.7869,-95.3905,US,Texas,Chicago: UTC-6(-5)
49,Ahmadābād,Ahmadabad,23.0301,72.58,IN,Gujarāt,Mumbai: UTC+5.5
50,Ho Chi Minh City,Ho Chi Minh City,10.78,106.695,VN,Hồ Chí Minh,Jakarta: UTC+7
51,Washington,Washington,38.9047,-77.0163,US,District of Columbia,New_York: UTC-5(-4)
52,Atlanta,Atlanta,33.7627,-84.4225,US,Georgia,New_York: UTC-5(-4)
53,Toronto,Toronto,43.7,-79.42,CA,Ontario,New_York: UTC-5(-4)
54,Singapore,Singapore,1.293,103.8558,SG,Singapore,Shanghai: UTC+8
55,Luanda,Luanda,-8.8383,13.2344,AO,Luanda,Lagos: UTC+1
56,Baghdad,Baghdad,33.3386,44.3939,IQ,Baghdād,Istanbul: UTC+3
57,Barcelona,Barcelona,41.3833,2.1834,CAT,Catalonia,Paris: UTC+1(+2)
58,Hāora,Haora,22.5804,88.3299,IN,West Bengal,Mumbai: UTC+5.5
59,Shenyang,Shenyang,41.805,123.45,CN,Liaoning,Shanghai: UTC+8
60,Khartoum,Khartoum,15.5881,32.5342,SD,Khartoum,Johannesburg: UTC+2
